Code,Description,Quantity,"Unit Price","Net Price",VAT,"Gross Price"
53514,"Soclean Centrefeed Blue Roll 400 Sheet 12 Pack",2,12.99,25.98,5.20,31.18
17105,"Proform Vinyl Gloves Powder-Free 100 Pack - Size: Large",1,1.8,1.8,0.36,2.16
60770,"Good Baby Biodegradable Wet Wipes 100 Pack",1,1.03,1.03,0.21,1.24
87403,"Sanell Antibacterial Cleaner 5 Litre 2 Pack",1,8.81,8.81,1.76,10.57
32392,"Soclean Mop Handles - Colour: Blue",1,4.72,4.72,0.94,5.66
62337,"Play Sand 12kg",1,4.29,4.29,0.86,5.15
18477,"Soclean Cotton Twine Mop Heads Assorted 4 Pack",1,3.9,3.9,0.78,4.68
53030,"Writy A4 Laminating Pouches 100 Pack",1,5,5,1.00,6.00
25054,"Soclean Cotton Twine Mop Head 5 Pack - Colour: Blue",1,4.73,4.73,0.95,5.68
67270,"Writy Clear Adhesive Tape 24mm x 66m 6 Pack",1,1.35,1.35,0.27,1.62
34237,"Artyom Assorted Colour Card 180gsm A4 100 Pack",1,2.99,2.99,0.60,3.59
79275,"Artyom Pastel Card A4 Assorted 180gsm 200 Pack",1,4.75,4.75,0.95,5.70
72447,"Artyom Black Card 180gsm A4 100 Pack",3,2.99,8.97,1.79,10.76
24100,"Writy Drywipe Markers Slim Black 100 Pack",1,11.95,11.95,2.39,14.34
83824,"Artyom Ready Mixed Paint 5 Litre - Colour: Yellow",1,6.5,6.5,1.30,7.80
79595,"Artyom Ready Mixed Paint 5 Litre - Colour: Green",1,6.5,6.5,1.30,7.80
74134,"Artyom Ready Mixed Paint 5 Litre - Colour: Red",1,6.5,6.5,1.30,7.80
32052,"Artyom Ready Mixed Paint 5 Litre - Colour: Orange",1,6.5,6.5,1.30,7.80
26106,"Artyom Ready Mixed Paint 5 Litre - Colour: Brown",1,6.5,6.5,1.30,7.80
45675,"Writy Duct Tape 20 Metres",1,1.2,1.2,0.24,1.44
80045,"Artyom A4 Paper Assorted Pastels 80gsm 500 Sheets",1,4.99,4.99,1.00,5.99
15401,"Jumbo Test Tubes 6 Pack With Stand",4,13.31,53.24,10.65,63.89
89850,"Jumbo Animals - Type: Jungle",1,26.26,26.26,5.25,31.51
37844,"Energizer Industrial AAA Batteries 10 Pack",1,3.07,3.07,0.61,3.68
26773,"Energizer Industrial AA Batteries 10 Pack",1,3.33,3.33,0.67,4.00
14066,"Writy Masking Tape 19mm x 50m 6 Pack",1,4,4,0.80,4.80
59086,"Writy Hook and Loop Tape 5 Metres",1,2.25,2.25,0.45,2.70
53718,"Wham Storage Box and Lid Clear 11 Litre",1,2.81,2.81,0.56,3.37
36685,"Washable Dry Wipe Eraser 128mm x 52mm",1,0.78,0.78,0.16,0.94
25504,"Chalk Markers White 4 Pack",1,2.4,2.4,0.48,2.88
64176,"Small Chalk Board Set",1,1.75,1.75,0.35,2.10
22405,"Pentel Energel Rollerball Pen 12 Pack - Colour: Black",1,9.21,9.21,1.84,11.05
